
         540712248 function calls (540708138 primitive calls) in 379.315 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1523    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:210(ndim)
     1454    0.006    0.000    0.015    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:231(is_sparse)
     1449    0.003    0.000    0.016    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:573(is_string_dtype)
     1394    0.001    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/base.py:160(__set__)
     1340    0.001    0.000    0.007    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:610(<genexpr>)
     1305    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:195(<lambda>)
     1305    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:190(classes_and_not_datetimelike)
1276/1178    0.001    0.000    0.004    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/_asarray.py:23(asarray)
     1272    0.000    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:208(<genexpr>)
     1166    0.001    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/numerictypes.py:285(issubclass_)
     1165    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/inference.py:322(is_hashable)
     1140    0.026    0.000    0.026    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1072    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/_dtype.py:24(_kind_name)
     1072    0.001    0.000    0.004    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/_dtype.py:307(_name_includes_bit_suffix)
     1072    0.004    0.000    0.010    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/_dtype.py:321(_name_get)
     1060    0.001    0.000    0.010    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:602(condition)
     1050    0.010    0.000    0.054    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:2672(get_block_type)
     1039    0.001    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:600(__len__)
      917    0.002    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:269(mgr_locs)
      910    0.005    0.000    0.237    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:127(__init__)
      910    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:161(_check_ndim)
      909    0.000    0.000    0.011    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:157(blknos)
      906    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:173(blklocs)
      900    0.001    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:429(is_timedelta64_dtype)
      888    0.082    0.000    0.082    0.000 {built-in method numpy.empty}
      880    0.003    0.000    0.003    0.000 {built-in method numpy.arange}
      861    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:351(iget)
      858    0.002    0.000    0.004    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:5953(maybe_extract_name)
      846    0.005    0.000    0.293    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:2721(make_block)
      838    0.002    0.000    0.011    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:1013(iget_values)
      834    0.001    0.000    0.003    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:1307(is_float_dtype)
      818    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      818    0.000    0.000    0.002    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/abc.py:137(__instancecheck__)
      802    0.001    0.000    0.024    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:5836(ensure_index)
      801    0.013    0.000    0.013    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      799    0.001    0.000    0.179    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/missing.py:50(isna)
      799    0.003    0.000    0.178    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/missing.py:133(_isna)
      768    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/base.py:199(construct_from_string)
      767    0.001    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:1769(pandas_dtype)
      751    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:347(dtype)
      736    0.014    0.000    0.187    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/missing.py:202(_isna_ndarraylike)
      736    0.001    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/styles/alignment.py:68(__iter__)
      724    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      714    0.001    0.000    0.013    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/_methods.py:53(_any)
      705    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      702    0.001    0.000    0.004    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:703(is_integer_dtype)
      689    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/range.py:747(__len__)
